NUTS,air_passengers,available_hospital_beds_nuts2,causes_of_death_crude_death_rate_3year_average_by_nuts2,compensation_of_employees_by_nuts2,deaths,early_leavers_from_education_and_training_by_sex_percentage_nuts2,employment_thousand_hours_worked_nuts2,farm_labour_force,health_personnel_by_nuts2,hospital_discharges_resp_diseases_j00_to_j99_nuts2,life_expectancy,longterm_care_beds_per_hundred_thousand_nuts2,nama_10r_2gdp,participation_in_education_and_training,pop_density,population_nuts2,pupils_and_students_enrolled_by_sex_age_and_nuts2,real_growth_rate_of_regional_gross_value_added_GVA_at_basic_prices_by_nuts2,stock_of_vehicles_by_category_and_nuts2,students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,unemployment_rate_nuts2,utilised_agricultural_area,young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2,cases_density_first_wave,cases_density_second_wave,country,latitude,longitude
BG32,4001.6666666666665,674.11,1753.33,1843.34,13725,12.7,574486.27,41760,2595,30164,74.6,5128.06,4557.31,1.5,53.1,773450,25201,109.8,364640,29166,5.7,793430,13.1,0.0012773934966707609,0.02837675350701403,BG,25.593,43.2223
BG33,2069,536.38,1437.45,2478.74,13482,12.5,713057.09,35610,3687,20091,75,2631.13,6307.94,1.4,63.7,924870,33664,110.1,413877,31718,6.1,822230,14.5,0.0021527349789700174,0.028881896915242143,BG,27.3512,43.3648
BG34,2858,670.17,1517.16,2806.58,15831,24.4,782417.86,46720,3515,28186,74.5,1705.24,6818.65,0.7,52.5,1024115,42482,109.3,445427,12986,4.6,845160,21.6,0.0014500324670569222,0.032522714734185124,BG,26.5534,42.4799
BG41,7078,739.34,1343.42,12668.12,28739,5.2,2140683.61,55690,9334,58119,76,3452.36,30951.19,2.7,103.7,2094260,78218,118.4,1160682,113123,3.6,554470,6.5,0.0031333263300640803,0.04023091688711048,BG,23.3357,42.3235
BG42,4001.6666666666665,824.74,1466.29,3361.86,21199,15.1,1090510.17,102090,5687,54730,75.6,6320.29,8665.82,1.1,63.7,1406630,51107,115.6,625257,37662,3.4,698880,16.8,0.0019400979646388887,0.025157290829855756,BG,25.1669,41.7421
CY00,11261,311.47,669.03,9910.42,6239,11.5,798137.06,16550,3768,7418,82.3,NA,22286.88,4.7,95.7,888005,58473,121.4,693821,50211,7.6,109330,14.4,0.002354716471191041,0.035871419642907416,CY,33.1739,35.0284
DE1,14477,NA,1179.4407894736842,48759.106578947365,111582,11.45,1645768.6842105263,67140,NA,NA,81.2921052631579,NA,91403.94763157895,7.545945945945946,468.66052631578947,11100394,NA,106.8,1390516.3684210526,NA,3.9642857142857144,1422460,8.225,0.0035325773121206326,0.024393008031967152,DE,9.0509,48.5342
DE2,53698,NA,1179.4407894736842,48759.106578947365,134313,11.45,1645768.6842105263,136570,NA,NA,81.2921052631579,NA,91403.94763157895,7.545945945945946,468.66052631578947,13124737,NA,106.8,1390516.3684210526,NA,3.9642857142857144,3136230,8.225,0.004120920670638962,0.028425407686264493,DE,11.4213,48.9474
DE3,24223,NA,989.21,80077.13,34739,10.6,2854987,3180,NA,53254,81.2921052631579,NA,154672.63,10.3,4322.9,3669491,NA,115.5,1328836,NA,6.1,26740,10,0.0028510766207084305,0.03164199067391091,DE,13.4022,52.5005
DE4,11404,NA,1303.24,36609.46,32027,10.8,1623513,22760,NA,37975,81.2921052631579,NA,74838.1,4.9,86.7,2521893,NA,105.9,1629514,NA,3.9,1313810,6.4,0.0014826164313870573,0.028097147658524765,DE,12.1381,53.0836
DE5,2305,NA,1182.98,18376.06,7704,16,588804,290,NA,15649,81.2921052631579,NA,33779.44,9.4,1744.5,681202,NA,104,316904,NA,5.1,8450,9.3,0.002753955508057815,0.022699581034700426,DE,8.7877,53.1065
DE6,17274,NA,989.61,59427.63,17474,13.2,1808903,1890,NA,33134,81.2921052631579,NA,124075.6,10,2597.5,1847253,NA,108.1,868090,NA,4.7,14440,8.3,0.0032226229974995305,0.02379046075442833,DE,10.01,53.5392
DE7,70436,NA,1179.4407894736842,48759.106578947365,66669,11.45,3252718,24200,NA,NA,81.2921052631579,NA,91403.94763157895,7.545945945945946,468.66052631578947,6288080,NA,106.8,2545001,NA,4,771890,7.6,0.0022305695856286814,0.02698248113891681,DE,9.0325,50.6006
DE8,126,NA,1362.96,24185.9,21702,11.5,1087824,17130,NA,41449,81.2921052631579,NA,46711.17,5.2,71.3,1608138,NA,106.6,986526,NA,4.6,1340960,6.8,6.081567626658906e-4,0.013827793385891012,DE,12.4675,53.7138
DE9,6287,NA,1179.4407894736842,48759.106578947365,94256,11.45,1143103,73330,NA,NA,81.2921052631579,NA,91403.94763157895,7.545945945945946,468.66052631578947,7993608,NA,106.8,1095060,NA,4.4,2590900,6,0.00196694659032567,0.017789713981471195,DE,9.1837,52.7621
DEA,43439,NA,1179.4407894736842,48759.106578947365,206479,11.45,3826268,60000,NA,NA,81.2921052631579,NA,91403.94763157895,7.545945945945946,468.66052631578947,17947221,NA,106.8,3062624,NA,5.1,1463030,8.9,0.0031057733116452964,0.025797252956321202,DE,7.5507,51.4749
DEB,1597,NA,1179.4407894736842,48759.106578947365,47619,11.45,1030052,36920,NA,NA,81.2921052631579,NA,91403.94763157895,7.545945945945946,468.66052631578947,4093903,NA,106.8,1082958,NA,2.2,706950,5.3,0.0020581826193732484,0.02225895435236253,DE,7.9074,49.5093
DEC,343,NA,1398.5,19864.81,13555,11.7,1645768.6842105263,1800,NA,16991,81.2921052631579,NA,36382.55,5.3,385.5,986887,NA,100.6,1390516.3684210526,NA,3.9642857142857144,77920,8.225,0.003078366621507832,0.02534940677098797,DE,6.957,49.3922
DED,4197,NA,1179.4407894736842,48759.106578947365,54946,11.45,1645768.6842105263,22940,NA,NA,81.2921052631579,NA,91403.94763157895,7.545945945945946,468.66052631578947,4071971,NA,106.8,1390516.3684210526,NA,3.9642857142857144,906640,8.225,0.0014165130350879218,0.045236569710344204,DE,13.3332,51.0583
DEE,10858.91304347826,NA,1511.31,32943.95,32299,12.7,1452109,16120,NA,44487,81.2921052631579,NA,63725.12,5.2,108.7,2194782,NA,102.5,1376196,NA,4.8,1172780,7.1,9.74584263949677e-4,0.025525086318367838,DE,11.6996,52.011
DEF,130,NA,1241.54,48028.67,34960,14.8,1960862,25520,NA,49851,81.2921052631579,NA,98261.1,7.4,188.2,2903773,NA,107.6,1876900,NA,3.4,990450,9.3,0.0013258612157355275,0.012723101978012746,DE,9.8212,54.0804
DEG,150,NA,1388.99,34106.75,29196,9.6,1509518,15940,NA,40560,81.2921052631579,NA,63946.76,6,132.4,2133378,NA,103.3,1366858,NA,4.2,780670,5.7,0.0016509029342198147,0.03263650417319387,DE,11.0218,50.9044
DK01,30135,297.59,844.13,64758.98,15321,7.9,1527162,2650,8961,28694,81.5,NA,126934.24,22.7,756,1846023,143164,114.3,909175,128712,6.1,98480,7.1,0.0039999501631344785,0,DK,12.3296,55.8618
DK02,6,275.73,1094.17,15793.52,9056,11.9,456715,7910,3069,12169,80.8,NA,30909.62,18.9,118.3,837359,66815,107.8,450391,24142,5.3,470050,8,0.002430259900472796,0,DK,11.7509,55.4376
DK03,3847,252.61,1016.24,30028.53,12163,10.1,830170,17080,4879,16125,81.5,NA,58664.66,18.5,102,1223105,98059,107.5,675759,52316,5.1,773600,7.9,8.568356764137176e-4,0,DK,9.0569,55.4038
DK04,612,216.92,886.77,33907.66,11367,9.6,924964,15950,5274,16990,82,NA,65703.05,18.9,103.7,1326340,108318,116.5,720480,71223,5.5,791690,7.1,0.0012485486376042343,0,DK,9.3996,56.2457
DK05,1443,225.31,1048.94,13828.91,6051,8.4,395443,9580,2099,7734,81.3,NA,26559.43,17.9,76.4,589936,45518,107,329763,32174,5.8,485520,7.7,9.475604133329718e-4,0,DK,9.953,57.2719
EE00,3258,453.01,1183.46,13785.1,15401,7.5,1182028,22060,4603,17572,79,116.11,28112.39,17.1,30.5,1328976,89618,120,NA,45484,6.8,957510,8.9,0.0016599246337029412,0.041254319114867384,EE,25.8548,58.6709
ES11,5248,329.67,1199.91,27844.8,31268,12,1871340.3,76900,12831,45875,84,122.28,64429.89,11.6,92,2702592,139276,109.6,1872820,99536,12,655520,9.2,0.004305866368286445,0.03622670384578952,ES,-7.8957,42.7431
ES12,1405,345.79,1291.62,10891.4,12893,8.9,684403,20240,4065,17387,83.2,71.78,23765.12,11.1,96.6,1018899,50287,106.8,629120,34999,14.1,336310,12.1,0.002877615936417643,0.03850725145475656,ES,-5.9972,43.3017
ES13,1171,328.34,1048.38,6304.4,6013,9.1,390162.8,8800,3000,7287,83.9,103.56,14187.41,11.9,110.5,582388,34068,109.7,377754,23531,12.1,222950,10.5,0.005561584373304395,0.03596056237422474,ES,-4.0606,43.1875
ES21,6353,325.71,1000.89,34098.9,21566,6.5,1734820.2,13280,12300,32935,84.5,107.94,74496.02,13.1,303.7,2189138,139270,109.5,1226007,89224,9.5,187250,8.2,0.010609198689164412,0.056975850768658715,ES,-2.5863,43.0651
ES22,240,335.41,899.51,9521.1,5568,10.8,514593.8,11320,3530,8125,85,96.2,20973.51,13.6,63.1,656509,43985,111.1,424559,27393,10.1,546890,9.9,0.012875680302935679,0.06449111893363228,ES,-1.6508,42.7117
ES23,17601.933333333334,323.43,1023.22,3649.7,3147,14.6,240385.3,8290,1100,5206,84.2,97.33,8866.58,10.5,62.6,315931,20233,106.3,194966,34712,10.8,215840,9.1,0.015158373189082426,0.0712687263991188,ES,-2.4332,42.3132
ES24,345,362.29,1070.73,17017.9,13620,14.2,1045786.8,39460,6665,18764,84.4,86.34,38044.04,10.9,27.9,1330333,82001,109.9,792992,52720,11.7,2261690,11.8,0.01747757892196916,0.061605628064552255,ES,-0.6751,41.507
ES30,59747,273.1,706.52,117599,47165,10,5882698.4,5720,34800,93568,85.8,122.6,240129.72,12.4,839.7,6747068,444162,114.1,4625861,408905,12.5,304150,9.9,0.014749962502230601,0.07019938142019615,ES,-3.7119,40.5008
ES41,242,349.97,1214.06,25704.4,28719,15.4,1701302.1,67360,11200,39128,84.7,87.57,59794.83,10.4,25.6,2401307,128342,108,1662819,109491,12.1,5295680,11.7,0.010160300203181018,0.07460478814245743,ES,-4.8172,41.7447
ES42,17601.933333333334,233.41,962.47,17895.8,19467,18.7,1266063.8,75350,5765,26435,83.9,44.91,42820.22,9.1,25.8,2045554,134390,110.6,1436412,53090,17.7,4045810,12.4,0.01018159383717076,0.07127800097186386,ES,-3.1358,39.2748
ES43,17601.933333333334,335.24,1072.25,8806.2,11261,18.4,661819.3,55070,3265,14968,83.1,84.51,20676.92,10.3,26,1061979,64295,108.7,765835,32624,21.8,2491730,16.6,0.0038428255172654074,0.06084583593460888,ES,-6.1601,39.1892
ES51,54693,384,884.26,110681,64547,17.4,6151178.5,56050,37258,123067,84.3,115.07,236814.4,10,238.1,7652348,518479,110.7,4429223,379060,12.6,1125270,17,0.01270564276480892,0.06054756004300902,ES,1.5078,41.8005
ES52,23401,231.9,913.8,52296.6,44016,15.5,3420227.5,63490,19660,64922,83.5,181.74,116015.25,12,216.2,5029341,328888,110.9,3161734,223082,16.2,637750,12,0.003704660312355038,0.07053051284452576,ES,-0.54,39.3945
ES53,40285,287.46,696.86,14678.6,7995,21.3,893071.8,7510,4400,18315,84.2,204.91,33799.28,11.3,241.2,1210725,72230,112.9,894665,25261,16.1,176280,18.2,0.004211526151685973,0.041676681327303886,ES,2.9634,39.6075
ES61,30414,217.98,864.81,74880.5,70505,21.8,5145657,242240,31430,74637,82.6,190.02,165865.23,9.6,97.4,8478083,585983,110.6,5184724,344735,22.3,4369000,17.2,0.0026063675007663876,0.05267004345203981,ES,-4.5804,37.4607
ES62,22,325.41,764.5,14917.1,11568,18.7,1061000.4,40490,6766,19154,82.9,458.72,32356.07,12.8,132.4,1504869,110298,109.9,965936,69642,16.2,375860,12.4,0.002597568293319884,0.06737397075758754,ES,-1.4907,37.9999
ES63,17601.933333333334,211.94,629.27,998.4,537,25.5,51526.2,0,765,627,81.4,596.32,1765.16,9,4222.9,84085,7827,107.2,50245,2677,24.5,0,18.9,0.0024023309746090266,0.05081762502229886,ES,-5.3543,35.8958
ES64,428,190.35,609.22,908.6,491,22.8,49001.5,0,NA,613,81.4,272.26,1621.83,10.5,6041.5,84473,8346,108.7,60568,2948,23.6,0,22.8,0.0025451919548258022,0.07735015922247346,ES,-2.9509,35.297
ES70,40035,290.96,744.08,21737.4,15756,18.2,1416989.8,21990,8765,24076,83.5,220.55,47164.2,10.2,299.4,2236992,125972,111.2,1583502,70349,22.6,52210,19.7,0.0018363945870168512,0.015706359253855176,ES,-16.5646,28.2457
FI19,667,333.02,1044.96,24284.21,14275,8.1,994183.02,19320,NA,NA,82.3,78,52966.94,25.6,23.7,1378652,94257,106.2,1185530,78986,7.7,791180,10.5,5.229746157841137e-4,0.0055510745278721536,FI,23.7142,62.3222
FI1B,22049,274.76,728.54,43118.33,12367,8,1452428.95,3360,NA,NA,82.4,111.19,94961.07,30.8,184.7,1689725,113557,111,1072690,91651,7.2,181470,7.6,0.003263844708458477,0.014897690452588439,FI,24.7512,60.3817
FI20,52,392.14,910.96,719.57,266,8.225,28751.89,560,NA,NA,83.9,66.25,1358.82,25.4,19.2,29884,1978,94.7,30918,521,7.8500000000000005,19550,9.35,5.688662829607817e-4,0.003781287645562843,FI,20.0931,60.2653
FR10,107991,534.57,613.93,382297.39,75788,5.9,9742156.29,8290,47481,120593,82.41538461538461,180.78,742569.25,12.7,1026.8,12291557,831044,107.3,6334433,713715,8.2,571640,9.8,0.002465269452844745,0.002789638448570836,FR,2.5234,48.7196
FRM0,4249,596.41,929.07,5250.68,3216,6.9,199292.65,4110,1038,3146,84,176.85,9780.82,7.5,39.6,345867,16787,109.2,249281,5603,8.1,159000,18.8,7.401689088580292e-4,0.0010264061040804703,FR,9.0976,42.1267
FRY1,2462,563,754,5555.87,3641,12.2,192215.03,6650,1153,2750,81.8,917,10079.5,6.6,247,412682,30254,104.7,276360,14154,17.4,30960,22.3,2.132392495916953e-4,0.0017931482352028924,FR,-61.6877,16.1776
FRY2,1954,521.93,876.55,5693.96,3559,14.8,201766.59,6460,1108,2707,82.1,1684,9132.86,7.6,328.6,359821,22946,100.2,254605,4328,12.4,24170,18.5,2.7513680413316624e-4,8.365270509503337e-4,FR,-60.9149,14.5657
FRY3,560,350.41,333.05,2612.25,1020,26.8,85928.08,4090,625,1824,79.8,301,4353.52,4.4,3.4,288086,29010,104.7,99353,4524,16.1,19570,33.6,0.00477635150614747,0.0028567858209007035,FR,-53.2263,3.9221
FRY4,2451,401.77,549.52,11029.76,5064,16.4,433863.16,11360,2893,8509,81.3,1946,19679.43,8.2,345.7,856858,74379,109,465240,22570,17.3,42200,24.7,2.182391948257471e-4,7.912629630580563e-4,FR,55.5328,-21.1271
FRY5,381,136.47,286.69,1674.27,777,9.61304347826087,70055.64,13601.153846153846,222,1382,75.9,0,2639.72,11.811538461538461,750.8,278926,37312,124,1587320.576923077,1805,27.8,1066901.5384615385,13.696153846153846,0.001566723790539426,0.0014233165785907374,FR,45.1546,-12.8294
HR03,7692,524.77,1225.69,7882.59,16658,1.4,1017609.69,36690,4504,11247,79.9,460.71,17546.29,3.0999999999999996,56,1373802,52844,108.8,713705,49566,7.5,467420,9.4,0.0019187626746794662,0.05286132936187311,HR,15.5424,44.4289
ITC1,3997,346.77,1213.45,55097.7,53137,12,3296619.7,55530,15758,44617,83.3,131.19,137781.87,7,172.3,4311217,198720,105,3345362,131326,7.5,948580,16.6,0.007473527776495592,0.04776516700504753,IT,7.9189,45.0634
ITC2,12034.125,359.01,1147.43,1714,1392,11.86,109158.8,0,461,1553,83.6,906.48,4868.04,7.5,38.6,125034,5789,101.5,271983,1154,5.8,0,14.7,0.009749348177295775,0.053889342098949085,IT,7.3925,45.7281
ITC3,1539,351.56,1416.52,18559.1,21354,10.7,1141935.5,11740,6956,20107,83.5,198.78,49740.73,8.7,284.3,1524826,64847,101,953358,34415,8.3,37330,15.4,0.006926036151010017,0.04259240070670359,IT,8.1521,44.1573
ITC4,49096,350.53,982.92,157914.2,99983,11.9,8286969.6,52530,36969,105664,84.2,144.36,398779.09,7.9,435.8,10027602,494636,106.4,6967861,328322,5,922320,15.7,0.00974460294694584,0.047772937138909184,IT,9.773,45.6127
ITF1,699,293.07,1111.32,12901,14612,8,905173.3,27030,5498,13863,83.7,518.55,33130.95,6.9,120.5,1293941,57390,100.6,1025132,49265,9.3,424160,15.5,0.0027667412965506153,0.03633009542166142,IT,13.8714,42.2341
ITF2,12034.125,300.18,1177.64,2451.7,3663,8.6,195985.9,11790,1220,2038,83.6,1611.79,6489.57,7.1,68.2,300516,12603,103.5,254927,8407,9.5,174200,25.5,0.0016771153615780857,0.03161229352180916,IT,14.5396,41.5949
ITF3,10834,252.21,924.17,43228.2,53860,17.3,3223203.9,66720,21981,48380,82.1,2006.23,109630.67,5.3,422.2,5712143,291518,101.7,3958323,227318,17.9,509000,28,9.546329634954867e-4,0.04306649886041018,IT,14.7373,41.0387
ITF4,8294,283.3,960.47,31460.7,39140,15.6,2451686,95800,15002,37549,83.7,470.68,77475.32,5.5,206.8,3953305,184553,103.1,2697746,91130,14,1184540,22.7,0.0012480696531130282,0.03408945173721734,IT,16.5847,41.0043
ITF5,12034.125,288.35,1091.16,4839.5,6508,10.1,367471.8,22810,1876,6845,83,1027.07,13089.85,7.1,55.7,553254,23135,105.9,439965,7772,8.6,484630,21,8.910916143398874e-4,0.025821774447179778,IT,16.0794,40.5157
ITF6,3536,248.18,1007.27,13009.7,20162,16.6,1077528.8,49020,7258,14011,82.8,505.92,33619.41,5.6,126.5,1894110,87937,99.2,1488082,46395,20.1,498400,26.5,7.264625602525723e-4,0.018498925616780442,IT,16.3822,39.1604
ITG1,18182,281.95,1027.28,35708.9,52405,19.4,2618000.7,86910,21163,41690,82.3,1258.83,89365.04,4.7,192.1,4875290,237664,99.8,3787735,119324,17.9,1326110,29.3,7.94209164993262e-4,0.0296811061495829,IT,14.1658,37.5704
ITG2,9097,301.25,994.66,14140.3,17003,12,1033426.6,36340,7595,17631,83.6,825.4,35255.67,8.6,68.3,1611621,66624,99.6,1237233,41592,13.3,1134540,19.3,9.716924760846378e-4,0.024253841318771598,IT,9.0348,40.0775
ITH1,37,349.97,826.12,9836.2,4454,14.2,538871.1,0,1770,5683,84.5,132.48,25515.9,7.1,72.2,532644,27774,107.8,570247,4735,3.8,0,10.4,0.005314994630559999,0.09095193037000322,IT,11.4241,46.7053
ITH2,12034.125,347.06,916.56,7620.8,5074,7.9,461538.9,32050,1768,4368,84.9,109.87,20967.26,10.8,88.2,545425,27000,105.6,791582,18288,5.3,272540,11.6,0.009181830682495302,0.04897281936104872,IT,10.859,46.1313
ITH3,18404,328.97,995.51,65182.8,48900,10.5,4000567.2,181900,16900,48950,84.3,135.28,164860.15,7.6,282,4879133,235939,105.3,3621253,120980,5.8,1616450,12.6,0.0044130791269678445,0.062358414906910714,IT,11.8546,45.661
ITH4,780,326.82,1174.2,16230.9,14318,8.5,927456.7,39200,4756,14912,83.9,135.33,38771.59,8.7,159.9,1206216,54321,103.3,907472,32982,5.6,439190,11,0.0029356267865788548,0.05814215696027909,IT,13.0495,46.1665
ITH5,9905,371.56,1113.52,64216.8,50274,9.3,3713821.7,147720,19026,62670,84,204.74,163751.09,9.2,201.9,4464119,212847,106.3,3345612,169485,5.7,2086940,13.2,0.006860032181041769,0.047835642374228826,IT,11.0296,44.5224
ITI1,8233,285.45,1152.71,44979.4,43677,11.7,2901702.2,129530,16212,43056,84.1,271.87,118727.3,8.2,162.7,3692555,167756,103.7,2943965,129391,6.6,1497770,15.2,0.0029740924644318088,0.03706620483648856,IT,11.1306,43.4794
ITI2,218,302.88,1130.5,9042.3,10263,11.2,637434.2,38390,3852,10116,84.5,282.41,23267.08,8.1,105.5,870165,38945,103.4,728816,27113,8.2,639400,14.9,0.0018134491734326248,0.047280688145351746,IT,12.4893,42.9717
ITI3,482,301.75,1112.52,16654.7,17442,9.8,1157674.9,56160,5681,16746,84.4,298.01,42391.85,6.2,161.9,1512672,70983,102.6,1183635,51779,7.4,939040,14.6,0.004678476232785429,0.03713495060396438,IT,13.153,43.3477
ITI4,49250,338.37,979.13,81787.6,56796,11.9,4565242.9,112980,26986,53245,83.8,567.21,200839.55,7.8,343,5755700,273929,104.1,4225066,294502,9.1,1241600,17.6,0.001634727313793283,0.03741595288149139,IT,12.7501,41.9898
LU00,4366,426.45,674.73,31400.94,4283,8.2,698398.03,3530,1780,NA,82.7,82.62,63516.34,16.3,239.8,626108,39175,112.1,479052,7102,6.8,131040,6.6,0.010102091013052062,0.07636541938451513,LU,6.0943,49.771
LV00,7786,542.32,1483.83,13899.49,27719,7.2,1674916.85,82090,6253,29904,75.7,366.34,30424.23,6.6,30.2,1907675,120787,111.3,828216,80355,8.1,1877720,7.1,6.956111496979308e-4,0.041821589107159246,LV,26.382,56.6829
MT00,7318,430.84,762.02,5767.22,3688,16.7,260107.21,4450,1925,NA,82.9,93.18,13442,11,1595.1,514564,26788,125,363815,16068,4.3,10880,9.3,0.002928693029438515,0.037414199205541,MT,14.4312,35.886
NL11,16238.8,NA,962.35,10559,5500,6.1,408746,5600,3170,4819,81.3,NA,24669.25,19.9,247.9,585866,35459,97.4,323115,51402,5.2,162960,5.6,9.148849736970569e-4,0.038938938255505526,NL,6.6929,53.2675
NL12,16238.8,NA,988.31,9804,6256,6.4,438799,9450,1530,5330,82,NA,20727.69,16.4,191,649957,45161,104.7,393870,25784,3.9,226440,4.5,0.0011816166300232169,0.03706399038705637,NL,5.8002,53.0649
NL13,177,NA,1080.19,7537,5143,6.5,323908,6350,1446,4092,81.9,NA,15701.17,18.1,184.5,493682,32859,103.4,308291,14733,3.7,150220,5.6,0.0011971268954509178,0.04104261447652537,NL,6.6292,52.8638
NL21,16238.8,NA,903.93,21914,10478,6.8,873131,13470,3066,8765,81.9,NA,45517,17.3,344.9,1162406,83080,109.8,670236,53974,3.5,198730,4.7,0.0029086222885979594,0.06090643028339496,NL,6.4397,52.4452
NL22,16238.8,NA,913.87,38627,19079,6.1,1530738,20120,7666,17413,82.1,NA,81757.36,17.6,415.8,2085952,139956,108.2,1194949,101148,3.5,232440,4.3,0.0034492644126039333,0.05362203924155493,NL,5.9378,52.0672
NL23,16238.8,NA,591.63,6227,2469,9,262189,4870,520,2983,82.4,NA,14756.45,18,292.5,423021,33696,111.5,429317,16358,3.9,88600,5.5,0.0028485583458031636,0.056718224390751276,NL,5.4817,52.5438
NL31,16238.8,NA,750,34954,9823,6,1140175,5130,7709,9831,82.7,NA,75838.85,22.2,934.6,1319231,95529,114.8,811443,79649,3.5,64470,3.7,0.0038484541372966526,0.05977800703591714,NL,5.2003,52.0749
NL32,71690,NA,811.96,77141,23086,7.4,2520883,16380,13892,18068,82.4,NA,177732.61,20.5,1041.2,2879527,186715,114.5,1389380,152371,3.9,128040,5.6,0.003836741242572131,0.05840994024365807,NL,4.9123,52.5945
NL33,2102,NA,842.33,79722,31224,7,2808887,26040,13658,28027,82.2,NA,170723.53,19.9,1292.2,3744299,258153,105.2,1802818,204902,4.4,128640,4.3,0.0046665610839305306,0.062302449670819555,NL,4.4867,51.9388
NL34,16238.8,NA,1026.48,6305,3934,7.4,267651,5630,628,2919,82.6,NA,14390.68,17.7,212.6,383488,24497,106.1,236250,10586,2.6,122180,3.5,0.0025815670894526036,0.03874697513351135,NL,3.7883,51.3073
